#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery
#Serial Number: SN:210244566833
#Date Time: 2019-07-09 14:04:42.664
#Sample rate: 800Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X
#Channel 2: Range: 500 mV/div Offset: 0 V Attenuation: 1 X
#Power Supplies: ON
#Positive Supply: ON
#Negative Supply: ON

Time (s),Channel 1 (V),Channel 2 (V)
-5.12,-1.627970538396967e-05,0.0001114284102464246
-5.11875,-1.627970538396967e-05,-0.0005587981151582238
-5.1175,-1.627970538396967e-05,-0.001229024640563482
-5.11625,-1.627970538396967e-05,-0.001564137903265958
-5.115,-1.627970538396967e-05,-0.001229024640563482
-5.11375,0.0003182858946044272,-0.0008939113778605479
-5.1125,-1.627970538396967e-05,0.0001114284102464246
-5.11125,-1.627970538396967e-05,0.0007816549356513777
-5.11,-1.627970538396967e-05,0.00178699472375835
-5.10875,-1.627970538396967e-05,0.002122107986461284
-5.1075,-1.627970538396967e-05,0.002122107986461284
-5.10625,-1.627970538396967e-05,0.001786994723758807
-5.105,-1.627970538396967e-05,0.001116768198354159
-5.10375,-1.627970538396967e-05,0.0004465416729489012
-5.1025,-1.627970538396967e-05,-0.0005587981151585285
-5.10125,0.0003182858946045794,-0.001229024640563482
-5.1,0.0003182858946045794,-0.001564137903265958
-5.09875,0.0003182858946045794,-0.001564137903265958
-5.0975,0.0003182858946045794,-0.001229024640563482
-5.09625,0.0003182858946045794,-0.0002236848524565091
-5.095,-1.627970538396967e-05,0.0004465416729489012
-5.09375,-1.627970538396967e-05,0.001451881461056331
-5.0925,-1.627970538396967e-05,0.001786994723758807
-5.09125,-1.627970538396967e-05,0.002122107986461284
-5.09,-1.627970538396967e-05,0.002122107986461284
-5.08875,-1.627970538396967e-05,0.001451881461056331
-5.0875,-1.627970538396967e-05,0.0007816549356516824
-5.08625,-1.627970538396967e-05,-0.000223684852456052
-5.085,0.0003182858946045794,-0.0008939113778610051
-5.08375,0.0003182858946045794,-0.001229024640563482
-5.0825,-1.627970538396967e-05,-0.001564137903265806
-5.08125,-1.627970538396967e-05,-0.001229024640563482
-5.08,0.0003182858946045794,-0.0005587981151585285
-5.07875,-1.62797053838175e-05,0.000446541672948444
-5.0775,-1.627970538396967e-05,0.001116768198354159
-5.07625,-1.627970538396967e-05,0.001786994723758807
-5.075,-1.627970538396967e-05,0.002122107986461284
-5.07375,-1.627970538396967e-05,0.002122107986461284
-5.0725,-1.627970538396967e-05,0.001786994723758807
-5.07125,-1.627970538396967e-05,0.001116768198353854
-5.07,0.0003182858946045794,0.0001114284102464246
-5.06875,-1.627970538381753e-05,-0.0005587981151588333
-5.0675,0.0003182858946045794,-0.001229024640563482
-5.06625,0.0003182858946045794,-0.001564137903265958
-5.065,0.0003182858946045794,-0.001229024640563634
-5.06375,0.0003182858946045794,-0.0008939113778610051
-5.0625,-1.627970538396967e-05,0.0001114284102464246
-5.06125,-1.627970538396967e-05,0.0007816549356513777
-5.06,-1.627970538396967e-05,0.00178699472375896
-5.05875,-1.627970538396967e-05,0.002122107986461284
-5.0575,-1.627970538396967e-05,0.002122107986461284
-5.05625,-1.627970538396967e-05,0.00178699472375896
-5.055,-1.627970538396967e-05,0.001116768198353854
-5.05375,-1.627970538396967e-05,0.0004465416729489012
-5.0525,-1.627970538396967e-05,-0.0005587981151585285
-5.05125,0.0003182858946045794,-0.001229024640563634
-5.05,0.0003182858946045794,-0.001564137903265958
-5.04875,-1.627970538396967e-05,-0.001564137903265958
-5.0475,-1.627970538396967e-05,-0.001229024640563634
-5.04625,0.0003182858946045794,-0.0002236848524557472
-5.045,0.0003182858946045794,0.0004465416729489012
-5.04375,-1.627970538396967e-05,0.001451881461056331
-5.0425,-1.627970538396967e-05,0.002122107986460979
-5.04125,-1.627970538396967e-05,0.002122107986461284
-5.04,-1.627970538396967e-05,0.002122107986461284
-5.03875,-1.627970538396967e-05,0.001451881461056331
-5.0375,-1.627970538396967e-05,0.0004465416729485964
-5.03625,-1.627970538396967e-05,-0.000223684852456052
-5.035,-1.627970538396967e-05,-0.0008939113778610051
-5.03375,-1.627970538396967e-05,-0.001564137903265653
-5.0325,0.0003182858946045794,-0.001564137903265958
-5.03125,-1.627970538396967e-05,-0.001229024640563482
-5.03,0.0003182858946045794,-0.0005587981151585285
-5.02875,-1.627970538396967e-05,0.0001114284102468818
-5.0275,-1.627970538396967e-05,0.001116768198353854
-5.02625,-1.627970538396967e-05,0.001786994723758807
-5.025,-1.627970538396967e-05,0.002122107986461132
-5.02375,-1.627970538396967e-05,0.002122107986461284
-5.0225,-1.627970538396967e-05,0.001786994723758807
-5.02125,-1.627970538396967e-05,0.0007816549356513777
-5.02,0.0003182858946045794,0.0001114284102461198
-5.01875,0.0003182858946045794,-0.0005587981151585285
-5.0175,0.0003182858946045794,-0.001229024640563482
-5.01625,0.0003182858946045794,-0.001564137903265806
-5.015,0.0003182858946045794,-0.001229024640563329
-5.01375,0.0003182858946045794,-0.0008939113778610051
